,post,target,handle
101,@<user> by @<user> <break> @ mauriziocattelan<break> @ gabriellakj<break> @ guiducci,1,KendallJenner
102,NEW @<user> COVER by @<user> @<user>,1,KendallJenner
103,@<user> @<user>,1,KendallJenner
104,after Burberry,1,KendallJenner
105,how I spent a day off with @<user> x @<user> # ad,1,KendallJenner
106,NEW @<user> campaign by @<user> # BurberrySpringSummer20 <break>thank you thank you @<user> # ad,1,KendallJenner
107,wingspan,1,KendallJenner
108,sadly i never personally knew you but knowing im capable of all these emotions for someone i only knew from a far makes me feel more human than ever you had the magical ability of bringing people together through sports and through your soul we feel you so heavily today i know you can feel us too rest peacefully Kobe Gigi and the rest of the passengers we lost today my heart truly goes out to all the families give a big hug to the people you love today and always,1,KendallJenner
109,NEW @<user> CAMPAIGN BY @<user> @<user>,1,KendallJenner
110,British Vogue by @<user> <break> @ edwardenninful,1,KendallJenner
111,you @<user> @<user>,1,KendallJenner
112,video proof,1,KendallJenner
113,Oral beauty @<user> # moonpartner,1,KendallJenner
114,cozy set from the new @<user> campaign @<user> # aloyogapartner,1,KendallJenner
115,at home in new # givenchyfw21,1,KendallJenner
116,hey its me,1,KendallJenner
117,out now my fragrance with @<user> @<user> and i put together 3 of my all time favorite scents ive ever smelt all inspired by my love of the outdoors and horseback riding Amber Olive and Blue Roanget yourself some if you wan na smell like a nature fairy princess,1,KendallJenner
118,we are live go get my @<user> before it runs outs ENJOY,1,KendallJenner
119,for you close your eyes and breathe im not an expert just vibrating and growing,1,KendallJenner
120,i love her,1,KendallJenner
121,most comfy in @<user>,1,KendallJenner
122,The Row head to toe pt 2,1,KendallJenner
123,new @voguehongkong covers by @zoeygrossman 🤍,1,KendallJenner
124,Pumpkin spice and everything nice for Pariss wedding,0,KimKardashian
125,Swipe,0,KimKardashian
126,Heart and Soul,0,KimKardashian
127,Happy Birthday Mommy @<user> you are ultimate goals You are my hero You are my life Thank you for being the most nonjudgmental loving human being Ive ever met You take care of us all so selflessly Words cant describe my love for you OMG I love you so much mom,0,KimKardashian
128,My baby Kenny @<user> <break>You are the cutest prettiest human alive you actually arent real youre perfect <break>Happy Birthday I love you to infinity and beyond,0,KimKardashian
129,Thank you so much to the @<user> for the honor of winning the Brand Innovator Award Im wearing our new @<user> x @<user> dress and @<user> jewelry,0,KimKardashian
130,I always talk about my skincare and my makeup routine but I never talk about my oral care routine # ad I keep my teeth super white and healthy with @<user> I bought these for me and my kids because it has this cute little happy face that you press and when youre done it lights up Theyre also shown to remove up to 10x more plaque than a manual toothbrush Click the link in my bio and use code KKW for 10 off to get one in my new favorite lavender colorway # brushBURST # BURSTlavender,0,KimKardashian
131,HALLOWEEN 2021 CowBot Costume by @<user> # SpaceCowboy,0,KimKardashian
132,Its a forever thing,0,KimKardashian
133,Pinkalicious Balenciaga,0,KimKardashian
134,new levels of devils,0,KimKardashian
135,FENDI x SKIMS<break>November 9,0,KimKardashian
136,How did I get so lucky,0,KimKardashian
137,4 LIFE,0,KimKardashian
138,Babies at Benihana,0,KimKardashian
139,Save the Date @<user> Bridal Is Coming Soon From something silky to something blue weve got you covered with our most loved Solutionwear styles in new a soft blue color and a limited edition embroidered silk robe Launching in sizes XXS 5X on Friday September 25 at 9AM PT 12PM ET exclusively at SKIMSCOM Join the waitlist now to receive early access to shop before it sells out<break>Go to my stories to see more of the collection,0,KimKardashian
140,My Girls Swipe to see North trying to teach Chi to make a peace sign,0,KimKardashian
141,NOW AVAILABLE @<user> Special Anniversary Drop 4 new shapewear styles a new color and a restock of our classic styles that have become your goto for comfortable and smoothing support Shop now at SKIMSCOM and enjoy free shipping on domestic orders over 75,0,KimKardashian
142,To our amazing fans <break> <break>It is with heavy hearts that weve made the difficult decision as a family to say goodbye to Keeping Up with the Kardashians<break><break>After what will be 14 years 20 seasons hundreds of episodes and numerous spinoff shows we are beyond grateful to all of you whove watched us for all of these years through the good times the bad times the happiness the tears and the many relationships and children Well forever cherish the wonderful memories and countless people weve met along the way <break> <break>Thank you to the thousands of individuals and businesses that have been a part of this experience and most importantly a very special thank you to Ryan Seacrest for believing in us E for being our partner and our production team at BunimMurray whove spent countless hours documenting our lives <break> <break>Our last season will air early next year in 2021 <break> <break>Without Keeping Up with The Kardashians I wouldnt be where I am today I am so incredibly grateful to everyone who has watched and supported me and my family these past 14 incredible years This show made us who we are and I will be forever in debt to everyone who played a role in shaping our careers and changing our lives forever <break> <break>With Love and Gratitude <break><break>Kim,0,KimKardashian
143,match made in heaven,0,KimKardashian
144,My girls wanted to do a photo shoot together sitting up on this rail Swipe to the right to see how it ended,0,KimKardashian
145,Coming Soon SKIMS SKIMS SKIMS This is one of my favorite collections If you look closely the pattern is SKIMS pointelle detail OMG swipe to look at the billboard how crazy is this Available in 5 colors and in sizes XXS 4X on Thursday August 27 at 9AM PT 12PM ET exclusively at SKIMSCOM Join the waitlist now to receive early access to shop before SKIMS SKIMS SKIMS sells out Go to my stories to see the full collection,0,KimKardashian
146,Photo Booth fun Fact @<user> and I have so many photo booth pics of us from our childhood we wanted to aged to recreate a photo booth shoot wearing our new @<user> collection I am obsessed with our new lip crayon called London You guys will love this collection Its really for anyone with hectic schedules and want a quick make up look The collection drops 828 at KKWBEAUTYCOM # kkwxallison,0,KimKardashian
147,Every Day Mood,0,KimKardashian
148,Say hello to my little friend,0,KimKardashian
149,My baby Chi Chi likes to dress up like A princess every day,0,KimKardashian
150,My baby @<user> Happy Birthday I cant believe you are 23 years old The funniest and most loyal person on the planet Looking for pictures and finding so many funny memories makes me so happy I love you beyond what you could image,0,KimKardashian
151,Chillin,0,KimKardashian
152,my favorite emoji is the magic sparkle whats yours,0,KimKardashian
153,Happy 86th birthday to my grandma Mary Jo Last week we celebrated my sweet grandma and she hasnt left her house since January First she was sick and then Covid lockdown So we got her best friends tested and driven up from San Diego to celebrate MJ We even had her favorite piano player and singer from San Diego come to perform It was such a magical day and grandma you deserve the best,0,KimKardashian
154,These two are besties True and Psalm,0,KimKardashian
155,If only I had a bright blue color on I would be the Armenian Flag For those of you that may not be aware of what is happening in Armenia right now I would like to share so you can all help <break><break>Despite an ongoing global pandemic Azerbaijan has violated the UNs appealfor global ceasefire by unprovoked attacks against the Republic of Armenia Civilian structures in Armenia have been targeted and Azerbaijan has now threatened to bomb the nuclear power plant in Armenia In the meantime congressional amendments to the National Defense Authorization Act will be voted on next week to ensure that the US does not enable Azerbaijan with military aid that would be used against Armenia and Artsakh The international community needs to pay attention and intervene now with such political and diplomatic measures to prevent unnecessary escalation and the loss of human life<break><break>I stand with my fellow Armenians and pray for those that are involved in recent tensions on the border of the country I urge for a peaceful resolution for these unprovoked attacks during this already very difficult pandemic<break><break>Please call on your Senators and Representatives to # SupportArmenia,0,KimKardashian
156,Spice Girls,0,KimKardashian
157,I hope everyone has a great day,0,KimKardashian
158,SKIMS BODY launching in 4 colors and in sizes XXS 4X tomorrow Tuesday July 14 at 9AM PT 12PM ET exclusively at SKIMSCOM Join the waitlist now to receive early access to shop<break>Photo @<user>,0,KimKardashian
159,Sushi and Sak,0,KimKardashian
160,Morning snuggles sleepover w Reign,0,KimKardashian
161,Norths 7th Birthday Wyoming Style,0,KimKardashian
162,So blessed and forever grateful,0,KimKardashian
163,Happy Sunday,0,KimKardashian
164,Happy Birthday to the most beautiful soul Thank you for always being so positive and thoughtful and caring towards everyone always You are so loyal and just care so much about everyone around you Your light glows and Im so proud to be your sister I love you forever Happy Birthday @<user>,0,KimKardashian
165,I love you too North,0,KimKardashian
166,Manifest it all Dreams do come true,0,KimKardashian
167,Costa Rica throwback When its safe to travel again where are you going,0,KimKardashian
168,How I wish you were here to celebrate Fathers Day together Happy Heavenly Fathers Day to the ultimate dad of all time,0,KimKardashian
169,Happy Fathers Day to the best dad Thank you for making life so much fun You give our kids the most awesome life I love you so much,0,KimKardashian
170,When I baby sit,0,KimKardashian
171,Snuggles w my Chi Chi,0,KimKardashian
172,Happy 7th Birthday to my first born baby North I cant believe you are 7 Crazy how time has flown by so fast like this You are everything and more than I ever dreamed of The most stylist creative Gemini performer ever I love you to your alien planet and back,0,KimKardashian
173,We celebrated Scotts bday a few weeks ago with just family and it was really my first time being around a group of people small group It was kind of nice but kind of scary too How is everyone feeling about being out and about,0,KimKardashian
174,My baby boy Psalm is the sweetest He just started walking,0,KimKardashian
175,My whole heart,0,KimKardashian
176,FAM,0,KimKardashian
177,OMG I cant with these two,0,KimKardashian
178,Quarantine Workout,0,KimKardashian
179,new opal birthstone grill alert,0,KimKardashian
180,Its a @<user> pajama party Whos coming,0,KimKardashian
181,First photo dump,0,KimKardashian
182,3 Pc Lip Sets are now available I hope everyone love them and I cant wait to see all the different lip looks you create Shop @<user> Lip Sets now only at,0,KimKardashian
183,Take me back,0,KimKardashian
184,3 out of 4,0,KimKardashian
185,Mom life on vacay! #SpringBreak,0,KimKardashian
