,post,target,handle,fold
31,Heart and Soul,0,KimKardashian,2.0
32,Take me back,0,KimKardashian,2.0
33,First photo dump,0,KimKardashian,2.0
34,Happy Fathers Day to the best dad Thank you for making life so much fun You give our kids the most awesome life I love you so much,0,KimKardashian,2.0
35,Norths 7th Birthday Wyoming Style,0,KimKardashian,2.0
36,3 out of 4,0,KimKardashian,2.0
37,My baby boy Psalm is the sweetest He just started walking,0,KimKardashian,2.0
38,3 Pc Lip Sets are now available I hope everyone love them and I cant wait to see all the different lip looks you create Shop @<user> Lip Sets now only at,0,KimKardashian,2.0
39,My whole heart,0,KimKardashian,2.0
40,When I baby sit,0,KimKardashian,2.0
41,Happy Sunday,0,KimKardashian,2.0
42,Happy Birthday to the most beautiful soul Thank you for always being so positive and thoughtful and caring towards everyone always You are so loyal and just care so much about everyone around you Your light glows and Im so proud to be your sister I love you forever Happy Birthday @<user>,0,KimKardashian,2.0
43,Snuggles w my Chi Chi,0,KimKardashian,2.0
44,Its a @<user> pajama party Whos coming,0,KimKardashian,2.0
45,Babies at Benihana,0,KimKardashian,2.0
46,How I wish you were here to celebrate Fathers Day together Happy Heavenly Fathers Day to the ultimate dad of all time,0,KimKardashian,2.0
47,Manifest it all Dreams do come true,0,KimKardashian,2.0
48,Quarantine Workout,0,KimKardashian,3.0
49,We celebrated Scotts bday a few weeks ago with just family and it was really my first time being around a group of people small group It was kind of nice but kind of scary too How is everyone feeling about being out and about,0,KimKardashian,3.0
50,So blessed and forever grateful,0,KimKardashian,3.0
51,Happy 7th Birthday to my first born baby North I cant believe you are 7 Crazy how time has flown by so fast like this You are everything and more than I ever dreamed of The most stylist creative Gemini performer ever I love you to your alien planet and back,0,KimKardashian,3.0
52,OMG I cant with these two,0,KimKardashian,3.0
53,FAM,0,KimKardashian,3.0
54,Costa Rica throwback When its safe to travel again where are you going,0,KimKardashian,3.0
55,I love you too North,0,KimKardashian,3.0
56,My girls wanted to do a photo shoot together sitting up on this rail Swipe to the right to see how it ended,0,KimKardashian,3.0
57,Morning snuggles sleepover w Reign,0,KimKardashian,3.0
58,My baby Kenny @<user> <break>You are the cutest prettiest human alive you actually arent real youre perfect <break>Happy Birthday I love you to infinity and beyond,0,KimKardashian,3.0
59,Happy 86th birthday to my grandma Mary Jo Last week we celebrated my sweet grandma and she hasnt left her house since January First she was sick and then Covid lockdown So we got her best friends tested and driven up from San Diego to celebrate MJ We even had her favorite piano player and singer from San Diego come to perform It was such a magical day and grandma you deserve the best,0,KimKardashian,3.0
60,new opal birthstone grill alert,0,KimKardashian,3.0
61,4 LIFE,0,KimKardashian,3.0
62,Pumpkin spice and everything nice for Pariss wedding,0,KimKardashian,3.0
63,How did I get so lucky,0,KimKardashian,3.0
64,Spice Girls,0,KimKardashian,3.0
65,I hope everyone has a great day,0,KimKardashian,3.0
66,SKIMS BODY launching in 4 colors and in sizes XXS 4X tomorrow Tuesday July 14 at 9AM PT 12PM ET exclusively at SKIMSCOM Join the waitlist now to receive early access to shop<break>Photo @<user>,0,KimKardashian,3.0
67,Happy Birthday to the one and only @<user> Love You babe,0,KimKardashian,3.0
68,Just added new items to my # KardashianKloset <url>,0,KimKardashian,3.0
69,Just dropped @<user> Soft Lounge <url> <url>,0,KimKardashian,3.0
70,Tune in to @<user> final Haunted House today <url>,0,KimKardashian,3.0
71,2 more sleeps @<user> <url>,0,KimKardashian,3.0
72,LIVE at 1130p EST Tomorrow @<user> <url>,0,KimKardashian,4.0
73,Just dropped new @<user> Waffle <url> <url>,0,KimKardashian,4.0
74,Just added new items to my # KardashianKloset <url>,0,KimKardashian,4.0
75,Sorry I needed a few days to decompress I cant wait to share my incredible SNL content with you over the next few days Hosting Saturday Night Live was probably one of the best experiences of my career <url>,0,KimKardashian,4.0
76,If you missed the show its now streaming on @<user> <url>,0,KimKardashian,4.0
77,If only I had a bright blue color on I would be the Armenian Flag For those of you that may not be aware of what is happening in Armenia right now I would like to share so you can all help <break><break>Despite an ongoing global pandemic Azerbaijan has violated the UNs appealfor global ceasefire by unprovoked attacks against the Republic of Armenia Civilian structures in Armenia have been targeted and Azerbaijan has now threatened to bomb the nuclear power plant in Armenia In the meantime congressional amendments to the National Defense Authorization Act will be voted on next week to ensure that the US does not enable Azerbaijan with military aid that would be used against Armenia and Artsakh The international community needs to pay attention and intervene now with such political and diplomatic measures to prevent unnecessary escalation and the loss of human life<break><break>I stand with my fellow Armenians and pray for those that are involved in recent tensions on the border of the country I urge for a peaceful resolution for these unprovoked attacks during this already very difficult pandemic<break><break>Please call on your Senators and Representatives to # SupportArmenia,0,KimKardashian,4.0
78,Just dropped new @<user> SLEEP Shop now at <url> <url>,0,KimKardashian,4.0
79,KRAVIS FOREVER @<user> @<user> <url>,0,KimKardashian,4.0
80,Have you guys started watching @<user> Its a new feelgood show thats all about second chances and chasing ones dreams Tune in to # TheBigLeap on Mondays at 98c on @<user> and catch up on the latest episodes now on @<user> # AD <url>,0,KimKardashian,4.0
81,Mom life on vacay! #SpringBreak,0,KimKardashian,4.0
82,Come celebrate my birthday with me in my game @<user> <url> <url>,0,KimKardashian,4.0
83,Thank you so much for all of the birthday love I love you guys so much <url>,0,KimKardashian,4.0
84,LAST DAY to shop 25 off sitewide <url> <url>,0,KimKardashian,4.0
85,Introducing FENDI x SKIMS a first of its kind collaboration that unites the luxury of @<user> with the innovation of @<user> This limited edition collection launches on November 9 at 6am PST at <url> # fendiskims <url>,0,KimKardashian,4.0
86,WSJ MAGAZINE NOVEMBER 2021 <url> <url>,0,KimKardashian,4.0
87,FENDI X SKIMS Dream Team Fendi Artistic Director of Couture and Womenswear @<user> Steven MeiselStylist @<user> Artist @<user> @<user> <url>,0,KimKardashian,4.0
88,new levels of devils <url>,0,KimKardashian,4.0
89,Just dropped @<user> Essential Bodysuits <url> <url>,0,KimKardashian,4.0
90,Pinkalicious Balenciaga <url>,0,KimKardashian,4.0
91,Say hello to my little friend,0,KimKardashian,4.0
92,Just added new items to my # KardashianKlosetCheck them out now <url>,0,KimKardashian,4.0
93,Congrats Paris <url>,0,KimKardashian,4.0
94,The amount of work that the entire @<user> team puts in to make a show like this even possible is unmatched Im forever grateful for this experience and to everyone that supported me and worked so hard to make this all possible Thank you <url>,0,KimKardashian,4.0
95,FENDI x SKIMS<break>November 9,0,KimKardashian,4.0
96,pumpkin spice and everything nice for Pariss wedding <url>,0,KimKardashian,5.0
97,My baby Chi Chi likes to dress up like A princess every day,0,KimKardashian,5.0
98,new levels of devils,0,KimKardashian,5.0
99,Pinkalicious Balenciaga,0,KimKardashian,5.0
100,My baby @<user> Happy Birthday I cant believe you are 23 years old The funniest and most loyal person on the planet Looking for pictures and finding so many funny memories makes me so happy I love you beyond what you could image,0,KimKardashian,5.0
101,Its a forever thing,0,KimKardashian,5.0
102,HALLOWEEN 2021 CowBot Costume by @<user> # SpaceCowboy,0,KimKardashian,5.0
103,Chillin,0,KimKardashian,5.0
104,Just dropped @<user> SOCKS exclusively at <url> <url>,0,KimKardashian,5.0
105,Just added new items to my # KardashianKloset <url>,0,KimKardashian,5.0
106,Sushi and Sak,0,KimKardashian,5.0
107,Happy Halloween Ive been having so much fun playing with costumes in my game Be creative and see what you can wear in @<user> <url> <url>,0,KimKardashian,5.0
108,Thank you @<user> amp everyone who marched for @<user> today The Oklahoma Pardon and Parole board voted 31 to recommend clemency and to commute Juliuss sentence to life with the possibility of parole The fight isnt over and he needs to come home # JusticeForJulius,0,KimKardashian,5.0
109,Halloween 2021 CowBot Costume by Manfred Thierry Mugler <url>,0,KimKardashian,5.0
110,I always talk about my skincare and my makeup routine but I never talk about my oral care routine # ad I keep my teeth super white and healthy with @<user> I bought these for me and my kids because it has this cute little happy face that you press and when youre done it lights up Theyre also shown to remove up to 10x more plaque than a manual toothbrush Click the link in my bio and use code KKW for 10 off to get one in my new favorite lavender colorway # brushBURST # BURSTlavender,0,KimKardashian,5.0
111,Heart and Soul <url>,0,KimKardashian,5.0
112,Halloween Vibezzzzz @<user> @<user> @<user> <url>,0,KimKardashian,5.0
113,We are keeping all of the victims families and loved ones impacted in our prayers for healing as well as Travis who we know cares so much about his fans and is truly devastated,0,KimKardashian,5.0
114,Absolutely heartbroken for the lives who were lost and anyone who was hurt at Astroworld Just like all of you our family is in shock by the tragedy,0,KimKardashian,5.0
115,Added some new items to my # KardashianCloset Check them out now <url>,0,KimKardashian,5.0
116,Happy Birthday Mommy @<user> you are ultimate goals You are my hero You are my life Thank you for being the most nonjudgmental loving human being Ive ever met You take care of us all so selflessly <url>,0,KimKardashian,5.0
117,My baby Kenny @<user> You are the cutest prettiest human alive you actually arent real youre perfect Happy Birthday I love you to infinity and beyond <url>,0,KimKardashian,5.0
118,Words cant describe my love for you OMG I love you so much mom <url>,0,KimKardashian,5.0
119,Thank you so much to the @<user> for the honor of winning the Brand Innovator Award Im wearing our new @<user> x @<user> dress and @<user> jewelry <url>,0,KimKardashian,5.0
120,I always talk about my skincare and my makeup routine but I never talk about my oral care routine # ad I keep my teeth super white with @<user> Go to <url> amp use code KKW for 10 off to get one in my new favorite colorway # brushBURST # BURSTlavender <url>,0,KimKardashian,5.0
121,Just dropped new @<user> Silk Shop now at <url> <url>,0,KimKardashian,5.0
122,More Space Cowboy Halloween vibez <url>,0,KimKardashian,5.0
123,Oh just wait <url>,0,KimKardashian,5.0
124,Mars Attacks <break>happy halloweeeeeen,1,KendallJenner,1.0
125,@<user> cover by @<user>,1,KendallJenner,1.0
126,nice planet well take it,1,KendallJenner,1.0
127,hahah classic shes so silly <url>,1,KendallJenner,1.0
128,thank you for all the birthday wishes,1,KendallJenner,1.0
129,precisely https://t.co/rf93cZMRFH,1,KendallJenner,1.0
130,Oral beauty @<user> # moonpartnerhttpstco9oG3iS9FUA <url>,1,KendallJenner,1.0
131,lmao i love him happy bday buttface @<user> <url>,1,KendallJenner,1.0
132,I have struggled with anxiety and panic attacks since i was a little girl I wanted to dive deeper to better understand what i was feeling but more so to share this information with others who may struggle too i am excited for you to watch my 4 part series fist ep out now <url>,1,KendallJenner,1.0
133,get ready <url>,1,KendallJenner,1.0
134,i love yall very much dont forget it <url>,1,KendallJenner,1.0
135,Its the minis for me @ MoonOralCare OnTheGo Kit are my favorite little items to bring with me # moonpartnerhttpstcofYzl8LnlcD <url>,1,KendallJenner,1.0
136,mom this looks like a pregnancy announcement <url>,1,KendallJenner,1.0
137,on my way see you in 10 <url>,1,KendallJenner,1.0
138,@<user> The Chanel Issue by @<user>,1,KendallJenner,1.0
139,@<user> <break> # aloyogapartner,1,KendallJenner,1.0
140,Pyro,1,KendallJenner,1.0
141,got ta figure out halloween,1,KendallJenner,1.0
142,im obsessed with these sunglasses by RayBan so fun and easy to capture the day<break> @ facebook @<user> # RayBanStories # ad,1,KendallJenner,1.0
143,The 3rd episode from my series with @<user> on mental health out now httpstcoUxnd0MFVUq,1,KendallJenner,1.0
144,nights with @<user> <break><break> # moonpartner,1,KendallJenner,1.0
145,final touches,1,KendallJenner,1.0
146,this was so fun <url>,1,KendallJenner,1.0
147,hiiiii <url>,1,KendallJenner,1.0
148,rum punch with my name on it,1,KendallJenner,2.0
149,how did you find this video tiny kenny this and my horses is what i lived for <url>,1,KendallJenner,2.0
150,Summer smile by @<user> # moonpartner,1,KendallJenner,2.0
151,coming 325 my fragrance with @<user> @ KimKardashian <url>,1,KendallJenner,2.0
152,Love my # RayBanStories Swipe to see life through my eyes @<user> @<user> # ad,1,KendallJenner,2.0
153,i just shed a tiny tear also this collab <url>,1,KendallJenner,2.0
154,wow great memories and blessings <url>,1,KendallJenner,2.0
155,@<user> i love my people so so much,1,KendallJenner,2.0
156,so glad you enjoyed <url>,1,KendallJenner,2.0
157,love you,1,KendallJenner,2.0
158,The wait is over @<user> sold out MOON DUST is back in stock Shop my oral beauty favehttpstcoXuk5AqLNBb # moonpartner <url>,1,KendallJenner,2.0
159,NEW @<user> campaign shot at home by me <break>love you @<user> <break> # TBSummerMonogram # ad,1,KendallJenner,2.0
160,hahaha <url>,1,KendallJenner,2.0
161,im not good at goodbyes they have been with us for so long family <url>,1,KendallJenner,2.0
162,NEW # VogueHongKong covers by # ZoeyGrossman <url>,1,KendallJenner,2.0
163,Its live now My favorite makeup ever We worked so hard on this collab cant wait for you guys to enjoy it Kylie and I will be donating a portion of the sales from our @<user> collaboration to the Marsha P Johnson Institute an amazing organization that protects and defends the human rights of blacktransgender people @<user> was created in response to the murders of black trans women and women of color toelevate support and nourish the voices of black trans people We are so proud to be supporting their mission and thank the team for their work Find out more at MarshaPorg,1,KendallJenner,2.0
164,not earth <break>few weeks ago,1,KendallJenner,2.0
165,to everyone reading this and to myself keep researching reading and educating yourself on how we can become better allies <break>Ive been doing a lot of thinking these past few days and my heart has been so heavy Im angry and hurt just like so many I will never personally understand the fear and pain that the black community go through on a daily basis but i know that nobody should have to live in constant fear I acknowledge my white privilege and promise I will continue to educate myself on how I can help raging on platforms can not be all that we do in order to repair the system we need to take real action off of social media this is a time to have those uncomfortable conversations with people and mainly with ourselves we must also make sure we are ready to vote when the time comes to elect the right people into office <break>the one truth that will always ring loudest is that BLACK LIVES MATTER <break>rest peacefully George Floyd and all victims of this horrible injustice,1,KendallJenner,2.0
166,wearing KENDALL X KYLIE makeup collab and not much else,1,KendallJenner,2.0
167,My monthly @ MoonOralCare reupShop the new OnTheGo Kit # moonpartnerhttpstcoIFmFkaLHJc <url>,1,KendallJenner,2.0
168,whos watching our # KUWTKReunion,1,KendallJenner,2.0
169,@<user> The Chanel Issue by<break> @ luigiandiango @<user> @<user> @<user>,1,KendallJenner,2.0
170,new @<user> cover story by @<user>,1,KendallJenner,2.0
171,i cant wait for there to be more opportunities for you to get to know me even more and hopefully i get to know you someday love you <url>,1,KendallJenner,2.0
172,did my makeup n stuff,1,KendallJenner,3.0
173,love your mther <break> @ krisjenner,1,KendallJenner,3.0
174,im so happy to hear that be the best YOU love you <url>,1,KendallJenner,3.0
175,from the cloud archive,1,KendallJenner,3.0
176,i wan na go back so bad @<user>,1,KendallJenner,3.0
177,My favorite purse essential @ MoonOralCare Stain Prevention Teeth Wipes # moonpartnerhttpstcoIkJTukU2Ca <url>,1,KendallJenner,3.0
178,all new items up on my kloset <url>,1,KendallJenner,3.0
179,@<user> in SOHO by @<user>,1,KendallJenner,3.0
180,wbu,1,KendallJenner,3.0
181,dreams <url>,1,KendallJenner,3.0
182,i miss my friends <break>the sooner we quarantine the sooner we can get back to our peoples again,1,KendallJenner,3.0
183,me and SIX on the new @<user> Sept cover its always been a dream of mine to be featured in this magazine considering my huge kinda secret love for real estate and interior design we shot this right before quarantine lock down so it feels like ages ago thank you AD and thank you a million times to @<user> and @<user> for making my home the sanctuary i had always dreamed of,1,KendallJenner,3.0
184,How are you really I am proud to stand with @<user> and The Mental Health Coalition to end the stigma against mental health conditions It is important now more than ever that we come together to promote acceptance and inspire hope Together and only together we can make a difference in millions of lives Please join me and share how you are really # howareyoureallychallenge @<user> @<user> <break>i nominate @<user> @<user> @<user> @<user> tell us how youre feeling,1,KendallJenner,3.0
185,i lakes,1,KendallJenner,3.0
186,yay NY here we come <url>,1,KendallJenner,3.0
187,had a lovely time <url>,1,KendallJenner,3.0
188,video proof,1,KendallJenner,3.0
189,at home in new # givenchyfw21,1,KendallJenner,3.0
190,NEW @<user> COVER by @<user> @<user>,1,KendallJenner,3.0
191,@<user> always dropping the freshest of oral care Shop their new GINGER MINT WHITENING TOOTHPASTEhttpstcosxo8HxJpPQ # moonpartner <url>,1,KendallJenner,3.0
192,@<user> @<user> so happy you got some,1,KendallJenner,3.0
193,@<user> @<user>,1,KendallJenner,3.0
194,you @<user> @<user>,1,KendallJenner,3.0
195,love you <url>,1,KendallJenner,3.0
196,@<user> by @<user> <break> @ mauriziocattelan<break> @ gabriellakj<break> @ guiducci,1,KendallJenner,4.0
197,backstage at @<user> by @<user>,1,KendallJenner,4.0
198,not not naked,1,KendallJenner,4.0
199,how I spent a day off with @<user> x @<user> # ad,1,KendallJenner,4.0
200,i love my @<user> deal with it # MYCALVINS # ad,1,KendallJenner,4.0
201,were launched in Vegas @<user> <url>,1,KendallJenner,4.0
202,@<user> 2nd birthday # httpsbitly3guF7fl # moonpartner <url>,1,KendallJenner,4.0
203,new @<user> campaign deal with it # MYCALVINS <break>shot by @<user>,1,KendallJenner,4.0
204,The favorite in my @<user> oral beauty routine Shop my Teeth Whitening PenhttpstcopiFcFZ8YQi # moonpartner <url>,1,KendallJenner,4.0
205,me and this bikini a love story,1,KendallJenner,4.0
206,after Burberry,1,KendallJenner,4.0
207,New @<user> campaign by @<user> @<user> # BORNIN1995 # liujoss20 # ad,1,KendallJenner,4.0
208,proud of you youre beautiful <url>,1,KendallJenner,4.0
209,NEW @<user> campaign by @<user> # BurberrySpringSummer20 <break>thank you thank you @<user> # ad,1,KendallJenner,4.0
210,Summer smiles A lil surprise from @ MoonOralCare is waiting for youhttpstcoFas8wPKVCH # moonpartner <url>,1,KendallJenner,4.0
211,one night only <url>,1,KendallJenner,4.0
212,NEW @<user> CAMPAIGN BY @<user> @<user>,1,KendallJenner,4.0
213,wingspan,1,KendallJenner,4.0
214,sadly i never personally knew you but knowing im capable of all these emotions for someone i only knew from a far makes me feel more human than ever you had the magical ability of bringing people together through sports and through your soul we feel you so heavily today i know you can feel us too rest peacefully Kobe Gigi and the rest of the passengers we lost today my heart truly goes out to all the families give a big hug to the people you love today and always,1,KendallJenner,4.0
215,new Jacquemus campaign by Drew Vickers <url>,1,KendallJenner,4.0
216,Oklahoma is trying to execute an innocent man on October 28th Julius Jones has been on death row for over 20 years for a murder he did not commit Take action to demand # JusticeForJulius now <url> <url>,1,KendallJenner,4.0
217,British Vogue by @<user> <break> @ edwardenninful,1,KendallJenner,4.0
218,watch me get ready for the Met Gala with @<user> httpstco7ld086rG17,1,KendallJenner,4.0
219,same building i had my sweet 16 at full circle moment <url>,1,KendallJenner,4.0
220,woo glad everyones enjoying <url>,1,KendallJenner,5.0
221,most comfy in @<user>,1,KendallJenner,5.0
222,i love her,1,KendallJenner,5.0
223,New from @<user> The Moon Dust Advanced Fresh Breath amp Balancing Paste BoosterWith adaptogens for calming amp soothing benefits on your smile a super sparkly crystalized mint formula for breath freshening # moonpartner <url> <url>,1,KendallJenner,5.0
224,for you close your eyes and breathe im not an expert just vibrating and growing,1,KendallJenner,5.0
225,we are live go get my @<user> before it runs outs ENJOY,1,KendallJenner,5.0
226,out now my fragrance with @<user> @<user> and i put together 3 of my all time favorite scents ive ever smelt all inspired by my love of the outdoors and horseback riding Amber Olive and Blue Roanget yourself some if you wan na smell like a nature fairy princess,1,KendallJenner,5.0
227,hey its me,1,KendallJenner,5.0
228,you can say that again <url>,1,KendallJenner,5.0
229,Ken out of Ken,1,KendallJenner,5.0
230,cozy set from the new @<user> campaign @<user> # aloyogapartner,1,KendallJenner,5.0
231,i love you guys,1,KendallJenner,5.0
232,Oral beauty @<user> # moonpartner,1,KendallJenner,5.0
233,new @voguehongkong covers by @zoeygrossman 🤍,1,KendallJenner,5.0
234,Its finally hereMeet my new @<user> Platinum Teeth Whitening Pen 2x the whitening power Gentle for all smiles Shop now <url> <url>,1,KendallJenner,5.0
235,The Row head to toe pt 2,1,KendallJenner,5.0
236,A lil @<user> to brighten your day # moonpartner <url> <url>,1,KendallJenner,5.0
237,i love this concept <url>,1,KendallJenner,5.0
238,nights with @<user> httpstcotmqa6YW5s7 # moonpartner <url>,1,KendallJenner,5.0
239,@<user> whole lotta YES,1,KendallJenner,5.0
240,Mars Attacks <url>,1,KendallJenner,5.0
241,i feel personally attacked <url>,1,KendallJenner,5.0
242,last night on @<user> httpstcow4sUAi0oYA,1,KendallJenner,5.0
243,i love each and every one of you thank you for this <url>,1,KendallJenner,5.0
244,new @<user> # moonpartner <url> <url>,1,KendallJenner,5.0
245,my favorite time of year wishing you a beautiful day,1,KendallJenner,5.0
246,im always proud of all of you YOU inspire me love you gorgeous <url>,1,KendallJenner,5.0
247,lots and lots of love <url>,1,KendallJenner,5.0
248,the best gift of all,2,KylieJenner,1.0
249,you call,2,KylieJenner,1.0
250,no place id rather be,2,KylieJenner,1.0
251,XXIII,2,KylieJenner,1.0
252,23 Thank you God for another year The blessings and the lessons im here for it all and so thankful for each and every one of you,2,KylieJenner,1.0
253,restocking my @<user> sets bundles and moisturizing lotion at 9am pst today <url> <url>,2,KylieJenner,1.0
254,lip swatches of my nightmare on elm street lip shine lacquer set <url> <url>,2,KylieJenner,1.0
255,MY NIGHTMARE ON ELM STREET COLLECTION NOW LIVE ON <url> happy halloween <url>,2,KylieJenner,1.0
256,one hour to go <url> <url>,2,KylieJenner,1.0
257,3 hours to go until my KYLIE X NIGHTMARE ON ELM STREET collection drops 3pm pst on <url> <url>,2,KylieJenner,1.0
258,so excited to welcome my new Hyaluronic Acid Serum to the @<user> family This multifunctional lightweight serum is formulated with 4 layers of Hyaluronic Acid Niacinamide Snow Algae Tripeptides and so much more to help improve the look and feel of your skin I love how it keeps my skin hydrated throughout the day Launching September 18 9am pst on KylieSkincom follow @<user> for more info,2,KylieJenner,1.0
259,just dropped my new clean and vegan setting powders <url> @<user> <url>,2,KylieJenner,1.0
260,bottega baby,2,KylieJenner,1.0
261,date night,2,KylieJenner,1.0
262,7th day of fall,2,KylieJenner,1.0
263,but are you registered to vote click the link in my bio lets make a plan to vote together,2,KylieJenner,1.0
264,still wish you well,2,KylieJenner,1.0
265,found these pics i never posted from last year throwback to this looook one of my favorites,2,KylieJenner,1.0
266,KYLIE X NIGHTMARE ON ELM STREET collection launching 1012 im wearing our Freddy eyeshadow palette here Only A Dream lip lacquer,2,KylieJenner,1.0
267,freddy girl my Nightmare On Elm Street halloween collection launches 1012 on KylieCosmeticscom @<user>,2,KylieJenner,1.0
268,growing,2,KylieJenner,1.0
269,hello fall,2,KylieJenner,1.0
270,in full mommy mode this halloween i hope everyone has a safe night,2,KylieJenner,1.0
271,morning @<user>,2,KylieJenner,1.0
272,daddy got us matching rings,2,KylieJenner,2.0
273,happy birthday to my sister my partner in crime my best friend i wouldnt want to walk through life with anyone else i love you forever horsegirlkj,2,KylieJenner,2.0
274,KYLIE X NIGHTMARE ON ELM STREET collection launching 1012 im wearing our Freddy eyeshadow palette here amp Only A Dream lip lacquer @<user> <url>,2,KylieJenner,2.0
275,morning,2,KylieJenner,2.0
276,tomorrow I will be restocking my @<user> moisturizing lotion and bundles that sold out on launch day <url>,2,KylieJenner,2.0
277,prada bae,2,KylieJenner,2.0
278,KYLIE X NIGHTMARE ON ELM STREET exclusive collection launches 1012 @<user> <url>,2,KylieJenner,2.0
279,its everything for me,2,KylieJenner,2.0
280,blurry nights,2,KylieJenner,2.0
281,oh you wan na know where im at,2,KylieJenner,2.0
282,the sweetest love,2,KylieJenner,2.0
283,pucci baby,2,KylieJenner,2.0
284,i love being your mommy,2,KylieJenner,2.0
285,fittings,2,KylieJenner,2.0
